feature,monotonicity,trendability,stability,transferability,degradation_direction,overall_score
vertical_band_energy_4,0.06092584381020386,0.6941809910365931,0.94124563594314,0.7738948108566405,decreasing,0.5339116914616734
resultant_band_energy_5,0.06065506674664942,0.6618579520830413,0.958741711302446,0.8068904114607682,decreasing,0.5325685629658441
resultant_band_energy_3,0.058349638606682026,0.682899303065779,0.961632763574282,0.7631655709835491,decreasing,0.5320935527944611
horizontal_stft_total_energy,0.14133293926043414,0.5846995049151731,0.9529568467827796,0.7704269016455914,increasing,0.5310317848190985
horizontal_spectral_energy,0.14045168446801956,0.5846745424010021,0.9530061223606565,0.7704482746610553,increasing,0.5307289179553971
resultant_wavelet_packet_energy_5,0.06643920948901696,0.6433966380456526,0.9622628449773036,0.8020935683826257,decreasing,0.5290393189877063
vertical_wavelet_packet_energy_2,0.053256291998963555,0.6624237945328846,0.9645794893999907,0.7784852997388575,decreasing,0.5270555334003294
horizontal_peak_to_peak,0.07713588804338241,0.6642130535856272,0.9361615329765398,0.7470110517786435,increasing,0.5255454412529765
horizontal_band_energy_1,0.03988906502148039,0.6490070135299235,0.9619098402061402,0.7942927870410009,increasing,0.5201891629138734
resultant_stft_band_energy_1,0.056087988957819385,0.6276687767274023,0.9801997379994892,0.7741361264349663,increasing,0.5200917957186002
resultant_peak,0.06905915217677062,0.6586260900476351,0.9323292074792,0.7410509003795522,increasing,0.5193820068289331
resultant_peak_to_peak,0.06829784784360605,0.6585564925327432,0.9322482713580398,0.7410249262458104,increasing,0.5190745877135646
horizontal_spectral_entropy,0.040440186133731224,0.6229717851818387,0.9828658563807174,0.8080280175283477,decreasing,0.5188229746067532
vertical_peak_to_peak,0.06828279466393826,0.6492958024504552,0.9429076385072188,0.7426362984233128,increasing,0.5186646913324556
horizontal_peak,0.06157848879594911,0.6582280948196336,0.9251815375830214,0.7491774199251402,increasing,0.5164338200298475
vertical_peak,0.06500147053684609,0.6459300654261834,0.9330561581871903,0.7424559571200952,increasing,0.5145091595212036
resultant_wavelet_packet_energy_4,0.049377246808358165,0.6362337322643886,0.9640286588702643,0.7561162523504257,decreasing,0.5143753256888587
resultant_stft_band_energy_3,0.049649136502793546,0.6374712192498964,0.9621733706106349,0.7545653215884198,decreasing,0.5142380359113367
vertical_wavelet_packet_energy_5,0.03823153623386576,0.6606652209952447,0.9457200112550065,0.7477094216967785,decreasing,0.5128810194859444
vertical_spectral_entropy,0.04634995464953469,0.6116847961906491,0.980404141723355,0.7579888585526062,decreasing,0.5095070801120938
vertical_band_energy_2,0.06327745573897171,0.6143924108449946,0.9493575689887611,0.7470452306478215,decreasing,0.508393131157064
vertical_wavelet_packet_energy_1,0.05172941912728035,0.6081452071464146,0.9797397896634242,0.7424089202284053,increasing,0.5078581548054182
vertical_wavelet_packet_energy_4,0.03411335502273779,0.6567683100404029,0.9448022900408533,0.7269808218154463,decreasing,0.5069777485505667
resultant_spectral_entropy,0.05092506725050718,0.5893597821280034,0.990620106608068,0.7613118993931667,decreasing,0.5069525144066671
resultant_band_energy_6,0.05334423476085151,0.6171778728378591,0.9583460523971474,0.7339792766114821,decreasing,0.5055899459888076
horizontal_wavelet_packet_energy_1,0.037736745149146794,0.6134950272329084,0.9613301490762354,0.7561203431767108,increasing,0.5029404502638276
horizontal_wavelet_packet_energy_3,0.03478419637874015,0.6184824394114522,0.9523262670839583,0.7455576109782927,decreasing,0.5000180956195303
horizontal_band_energy_3,0.035550690962786444,0.6172556243728675,0.9472171035288125,0.7484983660141172,decreasing,0.49933760475671557
vertical_wavelet_packet_entropy,0.051659711241927926,0.5927025892962572,0.9708108946543155,0.7217059003155444,decreasing,0.49830973970174663
resultant_band_energy_1,0.06165947787181869,0.5843215955433881,0.9721314777906519,0.712555984597809,increasing,0.4981869891659547
resultant_spectral_centroid,0.05571898362780473,0.5845063115194502,0.9759624168473924,0.7189558760376002,decreasing,0.4978894025006852
horizontal_wavelet_packet_entropy,0.04767174762548224,0.5673826775480078,0.9801735326467482,0.7646659605443478,decreasing,0.4976345155443229
horizontal_wavelet_packet_energy_2,0.034361557947058446,0.591578777498566,0.9636633758066391,0.7677980803280854,decreasing,0.4974025657415809
vertical_band_energy_1,0.0417552099631976,0.5942874102591602,0.9800018280557412,0.7214138153148089,increasing,0.4971129844732368
vertical_stft_band_energy_1,0.05306975341457863,0.5777512819291256,0.9831351325858048,0.720178358806932,increasing,0.49655357861204097
resultant_wavelet_packet_energy_6,0.04947593398310531,0.5927883067910893,0.9610235157061311,0.7121572283266238,decreasing,0.49418135632163346
horizontal_wavelet_packet_energy_5,0.040499636720651704,0.597253686344479,0.951366402553915,0.7280680122749615,decreasing,0.49283446110759904
horizontal_band_energy_2,0.04075394269648579,0.6006325121493543,0.9519982323691577,0.7100699708762367,decreasing,0.4913637756938434
resultant_wavelet_packet_energy_3,0.032262032763199534,0.588611988441827,0.9663865152130683,0.727132489738132,decreasing,0.49022248450300143
vertical_spectral_centroid,0.06026859105168143,0.5595100641052286,0.9677878347226568,0.7164615977778495,decreasing,0.4899738327108659
resultant_wavelet_packet_entropy,0.03201910957004023,0.5706186382792086,0.985114394213652,0.7222101847133725,decreasing,0.48774668638301294
resultant_wavelet_packet_energy_7,0.06450833322725061,0.5445633458253745,0.9562388072570764,0.7039082680352167,decreasing,0.48278092203384787
resultant_wavelet_packet_energy_8,0.04504193901150155,0.5695635829868124,0.9510242600359557,0.7029931302637619,decreasing,0.48228757509682474
vertical_band_energy_5,0.04749285679023017,0.561815095755675,0.9434594537364601,0.7027129511369441,decreasing,0.47926586202111676
resultant_band_energy_8,0.0446072009217711,0.5631211441756881,0.94913940879584,0.6712670305489197,decreasing,0.47506679991683226
resultant_wavelet_packet_energy_1,0.01728509542754939,0.5492136099849075,0.9973213161581459,0.6981375464951334,increasing,0.4749987616010138
vertical_band_energy_6,0.03794499397027965,0.5529948679710195,0.9379972892218029,0.7195179962956717,decreasing,0.4747063655696151
horizontal_band_energy_5,0.048624704448995075,0.5321867431638723,0.9493942610790573,0.7028513022969287,decreasing,0.47198121706666074
horizontal_stft_band_energy_1,0.025784293044928495,0.5568682597919987,0.9713987177226684,0.6768634020882065,increasing,0.4718942343610893
vertical_wavelet_packet_energy_8,0.054579692004187344,0.523963652297394,0.9328606917099447,0.7266137543799491,decreasing,0.4718561893896651
horizontal_band_energy_6,0.04747405082738472,0.5391857396211089,0.9474497294838808,0.6930971468555178,decreasing,0.47182615760102115
vertical_wavelet_packet_energy_7,0.05183506617345265,0.5343718886817734,0.937462415764423,0.7049374983223999,decreasing,0.47168694766648506
resultant_stft_band_energy_4,0.046473948293189245,0.5457655145179536,0.9550018822604931,0.6698995310480637,decreasing,0.4714808423673105
vertical_band_energy_8,0.05626095760188921,0.5211548706921441,0.9324650739361116,0.7261837695827498,decreasing,0.4714583765929392
horizontal_spectral_centroid,0.047558867513041184,0.5228113894247254,0.9704788045883544,0.6805721154952693,decreasing,0.4696705986989433
vertical_stft_band_energy_4,0.04975681643572204,0.5291359105002131,0.9367503357408398,0.7039066087619152,decreasing,0.46909171736502187
vertical_wavelet_packet_energy_6,0.03889981048969016,0.5386197687201729,0.9397149983089778,0.7025531498580135,decreasing,0.468526836427941
horizontal_wavelet_packet_energy_7,0.04908045327219287,0.48736532277369693,0.9430064280473741,0.7710309856413965,decreasing,0.46764368893306085
vertical_stft_band_energy_3,0.06104924972432735,0.5244561601099618,0.9441514459341815,0.6662992959259124,decreasing,0.46747926901222625
resultant_band_energy_2,0.041555419384689755,0.4869721881242854,0.9637951991313648,0.750155710775869,increasing,0.46591844966458035
horizontal_wavelet_packet_energy_6,0.03683283010788782,0.5310049689928104,0.9489768248018,0.6897637516811104,decreasing,0.4654529089481304
resultant_band_energy_7,0.041062839266185605,0.5264017719329547,0.9542774585400217,0.6811210539774614,decreasing,0.4653161751276749
resultant_wavelet_packet_energy_2,0.0423249337118317,0.4938543883253369,0.9693135509060143,0.7019300260697027,increasing,0.4621222573884004
horizontal_stft_band_energy_3,0.02954420642594811,0.5232328535343774,0.9529923703208777,0.6770243025310502,decreasing,0.4594624477532281
vertical_band_energy_7,0.04092359963257776,0.512046929890769,0.9353434460318348,0.685100625117236,decreasing,0.45777112181258534
horizontal_band_energy_7,0.06153127554966782,0.4618864703769849,0.9396950407792085,0.7264393523462462,decreasing,0.4570067985632578
vertical_shape_factor,0.02993784569027969,0.42494226356927045,0.9970990812892954,0.7898738002236758,decreasing,0.45586181135378945
horizontal_stft_band_energy_4,0.051888616063559746,0.44373638443317515,0.9389743064704968,0.7419810217555383,decreasing,0.45037394550962856
resultant_shape_factor,0.034964341185734125,0.44621165824636033,0.9978747188211098,0.6976613453883473,increasing,0.4503251624613891
vertical_kurtosis,0.04245879343654358,0.40556721091982684,0.9778071157438999,0.7766427798574667,decreasing,0.4485885811061383
horizontal_shape_factor,0.03972995083560003,0.42144982261274994,0.9971050904767428,0.7163031321347665,increasing,0.4472069174918485
horizontal_wavelet_packet_energy_8,0.04114412848954987,0.407549751621715,0.9317748891716457,0.7402647359202978,decreasing,0.4340600586802308
horizontal_band_energy_8,0.0404475107156994,0.40545273130292225,0.931822236353958,0.7352089680317282,decreasing,0.4324382406169223
vertical_margin_factor,0.03847691305701655,0.37557913724686737,0.9372057038365914,0.7872012476130559,decreasing,0.4316619886532927
horizontal_kurtosis,0.038722226596277,0.36886787376366154,0.9721696354483451,0.7494982246467694,increasing,0.4310718022244798
resultant_skewness,0.05459501518694395,0.3656382333394169,0.9549978094157363,0.7335433270681547,decreasing,0.42983078626062593
vertical_impulse_factor,0.032574211617978424,0.36942584939736484,0.9378714253132313,0.7898328694429042,decreasing,0.42827794436458383
vertical_crest_factor,0.03144124510133313,0.35420615570501585,0.9390984129121521,0.7940546253165246,decreasing,0.42419415887688044
resultant_kurtosis,0.04178235864884904,0.3325177362577689,0.9528049326577103,0.7579905307598985,decreasing,0.41863871254995466
horizontal_crest_factor,0.05070335332006762,0.32210139715919556,0.9310580489052941,0.7417273205405399,decreasing,0.41184730067192216
horizontal_margin_factor,0.05121698184418132,0.31973695263393137,0.9293452551576638,0.7420996503341094,decreasing,0.411031028017292
horizontal_impulse_factor,0.048483901069675026,0.32087518873616255,0.9298229550870745,0.7430638077643501,decreasing,0.4106560841773024
resultant_margin_factor,0.038871478086262304,0.31106337339680057,0.9353031712434663,0.7722640113039662,decreasing,0.4098242652935202
resultant_impulse_factor,0.03927684965192852,0.3081337597381059,0.9356609810787423,0.7749485862724178,decreasing,0.4095615094562179
vertical_dominant_frequency,0.027053484248027178,0.3962727442980534,0.8430085884676413,0.7461583655188362,increasing,0.4088760152975792
resultant_crest_factor,0.038269996205202085,0.3018135913681216,0.9365912553048091,0.7812509616404244,decreasing,0.4084444713892827
horizontal_dominant_frequency,0.042206228673446,0.36906784793276365,0.8411420480971654,0.7064635986109349,decreasing,0.39969048382660854
resultant_dominant_frequency,0.015571107015695267,0.26102080012434675,0.7167402917726133,0.8173530192175169,increasing,0.3497071387299475
vertical_skewness,0.03553326506714269,0.29645420119523946,0.31047725140036153,0.7640581529424492,decreasing,0.2780770763535115
horizontal_skewness,0.04032153654947084,0.306929009087004,0.1541641821024831,0.7591944116729004,decreasing,0.25090323868984765
horizontal_mean,0.03068376992147366,0.08130555758347718,0.01181098847383849,0.9630285872017083,increasing,0.18194747252258286
vertical_mean,0.03418332457888556,0.05924608656133481,0.0058531429959343415,0.9557911721130469,increasing,0.17427729398715427
